Fri Sep  8 17:40:56 2017 | 	total record: 7729
Fri Sep  8 17:41:28 2017 | 	total record: 7729
Fri Sep  8 17:41:51 2017 | 	total record: 7729
Fri Sep  8 17:45:03 2017 | 	total record: 7729
Fri Sep  8 17:45:41 2017 | 	total record: 7729
Fri Sep  8 17:45:54 2017 | 	total record: 7729
Fri Sep  8 17:46:15 2017 | 	total record: 7729
Fri Sep  8 17:46:34 2017 | 	total record: 7729
Fri Sep  8 17:47:41 2017 | 	total record: 7729
Fri Sep  8 17:48:44 2017 | 	total record: 7729
Fri Sep  8 17:49:17 2017 | 	total record: 7729
Fri Sep  8 17:50:07 2017 | 	total record: 7729
Fri Sep  8 17:50:17 2017 | 	total record: 7729
Fri Sep  8 17:51:06 2017 | 	total record: 7729
Fri Sep  8 17:51:35 2017 | 	total record: 7729
Fri Sep  8 17:51:59 2017 | 	total record: 7729
Fri Sep  8 18:33:55 2017 | 	total record: 7729
Fri Sep  8 18:34:00 2017 | 	process finised,spend time:6.727762937545776
Fri Sep  8 18:34:07 2017 | 	total record: 7729
Fri Sep  8 18:34:12 2017 | 	process finised,spend time:6.616673946380615
Fri Sep  8 18:34:41 2017 | 	total record: 7729
Fri Sep  8 18:34:46 2017 | 	process finised,spend time:6.1913979053497314
Fri Sep  8 18:39:37 2017 | 	total record: 7729
Fri Sep  8 18:50:17 2017 | 	total record: 7729
Fri Sep  8 18:50:32 2017 | 	total record: 7729
Fri Sep  8 18:52:26 2017 | 	total record: 7729
Fri Sep  8 18:52:37 2017 | 	total record: 7729
Fri Sep  8 18:54:36 2017 | 	process finised,spend time:119.97625494003296
Fri Sep  8 18:54:37 2017 | 	total record: 7729
Fri Sep  8 18:56:36 2017 | 	process finised,spend time:120.22258186340332
Fri Sep  8 18:56:37 2017 | 	total record: 7729
Fri Sep  8 18:58:43 2017 | 	process finised,spend time:126.7052230834961
Fri Sep  8 18:58:45 2017 | 	total record: 7729
Fri Sep  8 19:00:50 2017 | 	process finised,spend time:127.7640860080719
Fri Sep  8 19:00:52 2017 | 	total record: 7729
Fri Sep  8 19:02:55 2017 | 	process finised,spend time:124.7999939918518
Fri Sep  8 19:02:57 2017 | 	total record: 7729
Fri Sep  8 19:05:02 2017 | 	process finised,spend time:127.17437982559204
Fri Sep  8 19:05:04 2017 | 	total record: 7729
Fri Sep  8 19:07:13 2017 | 	process finised,spend time:130.88784503936768
Fri Sep  8 19:07:15 2017 | 	total record: 7729
Fri Sep  8 19:09:16 2017 | 	process finised,spend time:123.07067704200745
Fri Sep  8 19:09:18 2017 | 	total record: 7729
Fri Sep  8 19:11:25 2017 | 	process finised,spend time:128.29373288154602
Fri Sep  8 19:11:27 2017 | 	total record: 7729
Fri Sep  8 19:13:21 2017 | 	process finised,spend time:116.38633894920349
Fri Sep  8 19:13:26 2017 | 	total record: 7729
Fri Sep  8 19:15:19 2017 | 	process finised,spend time:114.10399389266968
Fri Sep  8 19:15:26 2017 | 	total record: 7729
Fri Sep  8 19:17:25 2017 | 	process finised,spend time:120.15099000930786
Fri Sep  8 19:17:27 2017 | 	total record: 7729
Fri Sep  8 19:19:25 2017 | 	process finised,spend time:120.69777607917786
Fri Sep  8 19:19:27 2017 | 	total record: 7729
Fri Sep  8 19:21:26 2017 | 	process finised,spend time:120.37170100212097
Fri Sep  8 19:21:28 2017 | 	total record: 7729
Fri Sep  8 19:23:26 2017 | 	process finised,spend time:120.59164690971375
Fri Sep  8 19:23:28 2017 | 	total record: 7729
Fri Sep  8 19:25:28 2017 | 	process finised,spend time:121.44230914115906
Fri Sep  8 19:25:30 2017 | 	total record: 7729
Fri Sep  8 19:27:27 2017 | 	process finised,spend time:118.75777101516724
Fri Sep  8 19:27:30 2017 | 	total record: 7729
Fri Sep  8 19:29:27 2017 | 	process finised,spend time:119.52960515022278
Fri Sep  8 19:29:29 2017 | 	total record: 7729
